"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata0"
"12/18/2017 11:42:17:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts"
"685","1","0","100","1","1999","10"
"686","1","0","100","1","1999","12"
"687","1","0","100","1","1999","12"
"688","1","0","100","1","1999","11"
"689","1","0","100","1","1999","13"
"690","1","0","100","1","1999","13"
"691","1","0","100","1","1999","10"
"692","1","0","100","1","1999","13"
"693","1","0","100","1","1999","11"
"694","1","0","100","1","1999","9"
"695","1","0","100","1","1999","11"
"696","1","0","100","1","1999","11"
"697","1","0","100","1","1999","11"
"698","1","0","100","1","1999","12"
"699","1","0","100","1","1999","11"
"700","1","0","100","1","1999","10"
"702","1","0","100","1","1999","10"
"701","1","0","100","1","1999","11"
"703","1","0","100","1","1999","11"
"704","1","0","100","1","1999","14"
"705","1","0","100","1","1999","11"
"706","1","0","100","1","1999","11"
"707","1","0","100","1","1999","11"
"708","1","0","100","1","1999","10"
"709","1","0","100","1","1999","10"
"710","1","0","100","1","1999","12"
"711","1","0","100","1","1999","11"
"712","1","0","100","1","1999","11"
"713","1","0","100","1","1999","11"
"714","1","0","100","1","1999","14"
"715","1","0","100","1","1999","10"
"716","1","0","100","1","1999","11"
"717","1","0","100","1","1999","12"
"718","1","0","100","1","1999","11"
"719","1","0","100","1","1999","12"
"720","1","0","100","1","1999","11"
"721","1","0","100","1","1999","10"
"722","1","0","100","1","1999","10"
"723","1","0","100","1","1999","13"
"724","1","0","100","1","1999","12"
"725","1","0","100","1","1999","11"
"726","1","0","100","1","1999","12"
"727","1","0","100","1","1999","11"
"728","1","0","100","1","1999","11"
"729","1","0","100","1","1999","11"
"730","1","0","100","1","1999","12"
"731","1","0","100","1","1999","11"
"732","1","0","100","1","1999","10"
"733","1","0","100","1","1999","12"
"734","1","0","100","1","1999","11"
"735","1","0","100","1","1999","13"
"736","1","0","100","1","1999","11"
"737","1","0","100","1","1999","12"
"738","1","0","100","1","1999","11"
"739","1","0","100","1","1999","11"
"740","1","0","100","1","1999","11"
"741","1","0","100","1","1999","12"
"742","1","0","100","1","1999","11"
"743","1","0","100","1","1999","10"
"744","1","0","100","1","1999","12"
"745","1","0","100","1","1999","14"
"746","1","0","100","1","1999","11"
"747","1","0","100","1","1999","12"
"748","1","0","100","1","1999","11"
"749","1","0","100","1","1999","11"
"750","1","0","100","1","1999","11"
"751","1","0","100","1","1999","12"
"752","1","0","100","1","1999","11"
"753","1","0","100","1","1999","10"
"754","1","0","100","1","1999","12"
"755","1","0","100","1","1999","12"
"756","1","0","100","1","1999","12"
"757","1","0","100","1","1999","12"
"758","1","0","100","1","1999","12"
"759","1","0","100","1","1999","12"
"760","1","0","100","1","1999","11"
"761","1","0","100","1","1999","11"
"762","1","0","100","1","1999","11"
"763","1","0","100","1","1999","11"
"764","1","0","100","1","1999","9"
"765","1","0","100","1","1999","12"
"766","1","0","100","1","1999","12"
"767","1","0","100","1","1999","11"
"768","1","0","100","1","1999","11"
"769","1","0","100","1","1999","12"
"770","1","0","100","1","1999","11"
"771","1","0","100","1","1999","11"
"772","1","0","100","1","1999","12"
"773","1","0","100","1","1999","12"
"774","1","0","100","1","1999","10"
"775","1","0","100","1","1999","11"
"776","1","0","100","1","1999","11"
"777","1","0","100","1","1999","11"
"778","1","0","100","1","1999","11"
"779","1","0","100","1","1999","13"
"780","1","0","100","1","1999","11"
"781","1","0","100","1","1999","11"
"782","1","0","100","1","1999","11"
"783","1","0","100","1","1999","12"
