"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-Cs"
"12/17/2017 12:47:00:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"597","2","10","100","2","1999","0","24"
"598","2","10","100","2","1999","1","25"
"599","2","10","100","2","1999","0","22"
"600","2","10","100","2","1999","2","23"
"601","2","10","100","2","1999","0","23"
"603","2","10","100","2","1999","0","22"
"602","2","10","100","2","1999","0","22"
"604","2","10","100","2","1999","1","24"
"605","2","10","100","2","1999","1","20"
"606","2","10","100","2","1999","1","24"
"607","2","10","100","2","1999","0","21"
"608","2","10","100","2","1999","0","22"
"609","2","10","100","2","1999","0","20"
"611","2","10","100","2","1999","0","22"
"610","2","10","100","2","1999","0","26"
"612","2","10","100","2","1999","1","25"
"613","2","10","100","2","1999","0","22"
"615","2","10","100","2","1999","1","25"
"614","2","10","100","2","1999","0","22"
"617","2","10","100","2","1999","0","21"
"616","2","10","100","2","1999","1","25"
"619","2","10","100","2","1999","0","21"
"618","2","10","100","2","1999","0","23"
"620","2","10","100","2","1999","0","21"
"621","2","10","100","2","1999","0","24"
"622","2","10","100","2","1999","0","21"
"623","2","10","100","2","1999","0","23"
"624","2","10","100","2","1999","0","22"
"625","2","10","100","2","1999","0","22"
"626","2","10","100","2","1999","1","22"
"627","2","10","100","2","1999","0","25"
"628","2","10","100","2","1999","0","24"
"629","2","10","100","2","1999","0","24"
"630","2","10","100","2","1999","0","23"
"631","2","10","100","2","1999","0","22"
"632","2","10","100","2","1999","0","22"
"633","2","10","100","2","1999","0","24"
"634","2","10","100","2","1999","0","23"
"635","2","10","100","2","1999","0","21"
"636","2","10","100","2","1999","0","22"
"637","2","10","100","2","1999","0","22"
"638","2","10","100","2","1999","0","23"
"639","2","10","100","2","1999","0","22"
"640","2","10","100","2","1999","2","24"
"641","2","10","100","2","1999","0","21"
"642","2","10","100","2","1999","0","24"
"643","2","10","100","2","1999","1","24"
"644","2","10","100","2","1999","1","22"
"645","2","10","100","2","1999","0","20"
"647","2","10","100","2","1999","0","22"
"646","2","10","100","2","1999","1","25"
"649","2","10","100","2","1999","1","22"
"648","2","10","100","2","1999","0","26"
"650","2","10","100","2","1999","0","25"
"651","2","10","100","2","1999","0","24"
"652","2","10","100","2","1999","0","22"
"653","2","10","100","2","1999","0","24"
"654","2","10","100","2","1999","0","25"
"655","2","10","100","2","1999","2","24"
"656","2","10","100","2","1999","0","25"
"657","2","10","100","2","1999","0","23"
"658","2","10","100","2","1999","0","22"
"659","2","10","100","2","1999","0","21"
"660","2","10","100","2","1999","0","23"
"661","2","10","100","2","1999","1","24"
"662","2","10","100","2","1999","1","23"
"663","2","10","100","2","1999","0","23"
"664","2","10","100","2","1999","0","20"
"665","2","10","100","2","1999","1","25"
"666","2","10","100","2","1999","0","24"
"667","2","10","100","2","1999","0","22"
"668","2","10","100","2","1999","0","19"
"669","2","10","100","2","1999","0","24"
"670","2","10","100","2","1999","0","21"
"671","2","10","100","2","1999","0","23"
"672","2","10","100","2","1999","0","22"
"673","2","10","100","2","1999","0","23"
"674","2","10","100","2","1999","2","23"
"675","2","10","100","2","1999","1","22"
"676","2","10","100","2","1999","0","22"
"677","2","10","100","2","1999","0","23"
"678","2","10","100","2","1999","0","23"
"679","2","10","100","2","1999","0","22"
"680","2","10","100","2","1999","0","26"
"681","2","10","100","2","1999","0","24"
"682","2","10","100","2","1999","0","20"
"683","2","10","100","2","1999","0","23"
"684","2","10","100","2","1999","0","22"
"685","2","10","100","2","1999","1","25"
"686","2","10","100","2","1999","0","22"
"687","2","10","100","2","1999","0","23"
"688","2","10","100","2","1999","2","23"
"689","2","10","100","2","1999","0","23"
"690","2","10","100","2","1999","0","25"
"691","2","10","100","2","1999","0","22"
"692","2","10","100","2","1999","0","22"
"693","2","10","100","2","1999","0","23"
"694","2","10","100","2","1999","0","23"
"695","2","10","100","2","1999","0","21"
"697","2","10","100","2","1999","1","21"
